Title,Price,Ad URL,Local Folder
"Квартира-студия, 27 м², 18/19 эт.",4 990 000 ₽,https://www.avito.ru/murino/kvartiry/kvartira-studiya_27_m_1819_et._4130318107,"dataset_images/Квартира-студия, 27 м², 18-19 эт."
"3-к. квартира, 80 м², 20/25 эт.",17 800 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_80_m_2025_et._3744280669,"dataset_images/3-к. квартира, 80 м², 20-25 эт."
"Квартира-студия, 24,5 м², 5/5 эт.",4 450 206 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_245_m_55_et._3637114759,"dataset_images/Квартира-студия, 24,5 м², 5-5 эт."
"3-к. квартира, 71,2 м², 2/9 эт.",9 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_712_m_29_et._3789679576,"dataset_images/3-к. квартира, 71,2 м², 2-9 эт."
"3-к. квартира, 58,3 м², 5/5 эт.",2 610 400 ₽,https://www.avito.ru/volhov/kvartiry/3-k._kvartira_583_m_55_et._3946463305,"dataset_images/3-к. квартира, 58,3 м², 5-5 эт."
"Квартира-студия, 18 м², 4/6 эт.",5 930 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_18_m_46_et._3822343514,"dataset_images/Квартира-студия, 18 м², 4-6 эт."
"2-к. квартира, 52,2 м², 6/6 эт.",10 500 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_522_m_66_et._3865697376,"dataset_images/2-к. квартира, 52,2 м², 6-6 эт."
"2-к. квартира, 36,8 м², 2/18 эт.",6 650 000 ₽,https://www.avito.ru/kudrovo/kvartiry/2-k._kvartira_368_m_218_et._3548454410,"dataset_images/2-к. квартира, 36,8 м², 2-18 эт."
"2-к. квартира, 55 м², 5/5 эт.",14 200 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_55_m_55_et._4113928938,"dataset_images/2-к. квартира, 55 м², 5-5 эт."
"Квартира-студия, 22,7 м², 2/5 эт.",6 570 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_227_m_25_et._3715194236,"dataset_images/Квартира-студия, 22,7 м², 2-5 эт."
"2-к. квартира, 47,9 м², 4/26 эт.",9 200 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_479_m_426_et._3723707855,"dataset_images/2-к. квартира, 47,9 м², 4-26 эт."
"Апартаменты-студия, 18,4 м², 11/13 эт.",4 900 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_184_m_1113_et._3657175949,"dataset_images/Апартаменты-студия, 18,4 м², 11-13 эт."
"1-к. квартира, 39,3 м², 4/14 эт.",6 700 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_393_m_414_et._3781136095,"dataset_images/1-к. квартира, 39,3 м², 4-14 эт."
"Квартира-студия, 19,6 м², 2/6 эт.",5 510 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_196_m_26_et._3898441637,"dataset_images/Квартира-студия, 19,6 м², 2-6 эт."
"Квартира-студия, 21,3 м², 6/24 эт.",5 090 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_213_m_624_et._3550906372,"dataset_images/Квартира-студия, 21,3 м², 6-24 эт."
"1-к. квартира, 28,8 м², 5/5 эт.",2 950 000 ₽,https://www.avito.ru/luga/kvartiry/1-k._kvartira_288_m_55_et._3890820481,"dataset_images/1-к. квартира, 28,8 м², 5-5 эт."
"2-к. квартира, 46,6 м², 7/10 эт.",7 667 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_466_m_710_et._3897616241,"dataset_images/2-к. квартира, 46,6 м², 7-10 эт."
